,dc_id,time,day_id,room_id,acu_id,setting_t,setting_h,cp_status,fan_speed,return_t,fan_rated_power,fan_min_power,fd_degree_set,temp,group_temp,acu_power,it_power,air_power,pue,pre_y,count
21,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0610,HB-027-JYHIDC-0610HB-027-JYHIDC-0610/JFKT01,25.0,50.0,0.0,0.0,27.3,0.0,0.0,0.0,26.90625,"[26.453125, 26.90625]",0.02082812413573265,1619.0,739.8,1.456948733786288,26.0,27
22,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0701,HB-027-JYHIDC-0701HB-027-JYHIDC-0701/JFKT06,24.0,50.0,0.0,0.0,25.1,0.0,0.0,0.0,27.234375,"[25.703125, 27.234375]",0.01015624962747097,3680.0,1862.31,1.5060625,25.0,77
23,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0506,HB-027-JYHIDC-0506HB-027-JYHIDC-0506/JFKT03,24.0,50.0,0.0,0.0,24.7,0.0,0.0,0.0,27.671875,"[27.0625, 27.671875, 26.375, 25.5]",0.013937500305473804,4500.0,1700.0,1.3777777777777778,24.0,146
24,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0701,HB-027-JYHIDC-0701HB-027-JYHIDC-0701/JFKT02,24.0,50.0,0.0,0.0,24.6,0.0,0.0,0.0,25.40625,"[25.1875, 25.40625, 24.734375, 24.8125]",0.011773437261581421,3680.0,1862.31,1.5060625,24.0,261
25,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0505,HB-027-JYHIDC-0505HB-027-JYHIDC-0505/JFKT02,24.5,50.0,0.0,0.0,25.2,0.0,0.0,0.0,24.421875,"[24.421875, 23.4375]",3.0390625,991.25,522.88,1.5274955863808324,25.0,135
26,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0501,HB-027-JYHIDC-0501HB-027-JYHIDC-0501/JFKT01,24.5,50.0,0.0,0.0,25.8,0.0,0.0,0.0,27.40625,"[27.40625, 26.984375]",0.01321875024586916,3365.0,2140.97,1.6362466567607723,25.0,234
27,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0613,HB-027-JYHIDC-0613HB-027-JYHIDC-0613/JFKT01,23.0,40.0,0.0,0.0,23.4,0.0,0.0,0.0,25.21875,"[23.84375, 25.21875]",9.25,0.0,832.71,inf,24.0,335
28,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0613,HB-027-JYHIDC-0613HB-027-JYHIDC-0613/JFKT03,23.0,42.0,0.0,0.0,22.4,0.0,0.0,0.0,24.71875,"[23.65625, 24.71875]",9.46875,0.0,832.71,inf,24.0,336
29,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT08,24.5,50.0,0.0,0.0,24.5,0.0,0.0,0.0,26.578125,"[25.765625, 26.578125]",0.022187499329447746,4864.0,2518.66,1.5178166118421053,24.0,148
30,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0501,HB-027-JYHIDC-0501HB-027-JYHIDC-0501/JFKT04,24.5,50.0,0.0,0.0,25.1,0.0,0.0,0.0,26.703125,"[26.703125, 25.765625]",0.012648437172174454,3365.0,2140.97,1.6362466567607723,25.0,133
31,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0616,HB-027-JYHIDC-0616HB-027-JYHIDC-0616/JFKT03,24.5,50.0,0.0,0.0,26.0,0.0,0.0,0.0,25.953125,"[25.765625, 25.953125]",0.017234375700354576,2786.0,1294.09,1.464497487437186,26.0,82
32,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT04,25.0,50.0,0.0,0.0,25.9,0.0,0.0,0.0,25.09375,"[25.09375, 23.875]",2.859375,4864.0,2518.66,1.5178166118421053,26.0,44
33,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0702,HB-027-JYHIDC-0702HB-027-JYHIDC-0702/JFKT04,23.0,50.0,0.0,0.0,25.2,0.0,0.0,0.0,27.15625,"[27.15625, 25.546875]",0.0,3131.0,1731.56,1.553037368252954,25.0,312
34,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT06,24.5,50.0,0.0,0.0,25.2,0.0,0.0,0.0,26.015625,"[25.375, 26.015625]",0.01321093738079071,4864.0,2518.66,1.5178166118421053,25.0,215
35,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0616,HB-027-JYHIDC-0616HB-027-JYHIDC-0616/JFKT01,24.0,50.0,0.0,0.0,25.2,0.0,0.0,0.0,27.234375,"[26.984375, 27.234375, 26.984375, 27.234375]",9.65625,2786.0,1294.09,1.464497487437186,25.0,43
36,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT05,24.5,50.0,0.0,0.0,25.7,0.0,0.0,0.0,26.0,"[26.0, 25.265625, 26.0, 25.265625]",0.012460937723517418,4864.0,2518.66,1.5178166118421053,25.0,52
37,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0505,HB-027-JYHIDC-0505HB-027-JYHIDC-0505/JFKT01,24.5,50.0,0.0,0.0,26.2,0.0,0.0,0.0,25.34375,"[25.34375, 24.28125, 25.34375, 24.28125]",0.014390625059604645,991.25,522.88,1.5274955863808324,26.0,118
38,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0702,HB-027-JYHIDC-0702HB-027-JYHIDC-0702/JFKT03,23.0,50.0,0.0,0.0,23.0,0.0,0.0,0.0,26.21875,"[26.21875, 23.578125]",1.0400390625,3131.0,1731.56,1.553037368252954,24.0,336
39,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0501,HB-027-JYHIDC-0501HB-027-JYHIDC-0501/JFKT07,24.5,50.0,0.0,0.0,24.1,0.0,0.0,0.0,25.375,"[24.625, 25.375]",2.58984375,3365.0,2140.97,1.6362466567607723,24.0,304
40,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0506,HB-027-JYHIDC-0506HB-027-JYHIDC-0506/JFKT01,24.0,50.0,0.0,0.0,25.2,0.0,0.0,0.0,24.125,"[24.125, 24.125]",0.01171875,4500.0,1700.0,1.3777777777777778,25.0,258
41,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0616,HB-027-JYHIDC-0616HB-027-JYHIDC-0616/JFKT02,25.0,50.0,0.0,0.0,25.3,0.0,0.0,0.0,25.953125,"[25.765625, 25.953125]",2.4296875,2786.0,1294.09,1.464497487437186,25.0,10
42,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0608,HB-027-JYHIDC-0608HB-027-JYHIDC-0608/JFKT01,24.0,50.0,0.0,0.0,24.8,0.0,0.0,0.0,26.25,"[26.25, 25.984375]",0.014171875081956387,0.0,340.84,inf,24.0,122
43,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0616,HB-027-JYHIDC-0616HB-027-JYHIDC-0616/JFKT06,25.0,50.0,0.0,0.0,26.4,0.0,0.0,0.0,25.5,"[25.5, 25.46875]",2.580078125,2786.0,1294.09,1.464497487437186,26.0,235
44,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.96875,"[24.96875, 24.515625]",3.689453125,4864.0,2518.66,1.5178166118421053,24.0,336
45,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0701,HB-027-JYHIDC-0701HB-027-JYHIDC-0701/JFKT01,24.0,50.0,0.0,0.0,24.4,0.0,0.0,0.0,25.40625,"[25.1875, 25.40625]",0.010906250216066837,3680.0,1862.31,1.5060625,24.0,301
46,HB-027-JYHIDC,2022060100,20220601,HB-027-JYHIDC-0501,HB-027-JYHIDC-0501HB-027-JYHIDC-0501/JFKT08,24.0,50.0,0.0,0.0,24.6,0.0,0.0,0.0,25.265625,"[25.265625, 25.21875]",0.012546874582767487,3365.0,2140.97,1.6362466567607723,24.0,122
47,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0702,HB-027-JYHIDC-0702HB-027-JYHIDC-0702/JFKT06,23.0,55.0,0.0,0.0,25.6,0.0,0.0,0.0,27.015625,"[25.90625, 27.015625]",0.01704687438905239,3131.0,1731.56,1.553037368252954,25.0,237
48,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0702,HB-027-JYHIDC-0702HB-027-JYHIDC-0702/JFKT02,23.0,50.0,0.0,0.0,24.5,0.0,0.0,0.0,26.21875,"[26.21875, 23.578125]",9.296875,3131.0,1731.56,1.553037368252954,24.0,299
49,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0610,HB-027-JYHIDC-0610HB-027-JYHIDC-0610/JFKT03,24.0,50.0,0.0,0.0,25.2,0.0,0.0,0.0,26.59375,"[25.984375, 26.59375]",0.011671874672174454,1619.0,739.8,1.456948733786288,25.0,206
50,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.734375,"[25.734375, 25.109375, 25.734375, 25.109375]",0.01224218774586916,4864.0,2518.66,1.5178166118421053,24.0,336
51,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT05,24.5,50.0,0.0,0.0,25.7,0.0,0.0,0.0,26.0,"[26.0, 25.265625, 26.0, 25.265625]",0.012460937723517418,4864.0,2518.66,1.5178166118421053,25.0,52
52,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT04,25.0,50.0,0.0,0.0,25.9,0.0,0.0,0.0,25.09375,"[25.09375, 23.875]",2.859375,4864.0,2518.66,1.5178166118421053,26.0,44
53,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0702,HB-027-JYHIDC-0702HB-027-JYHIDC-0702/JFKT03,23.0,50.0,0.0,0.0,23.0,0.0,0.0,0.0,26.21875,"[26.21875, 23.578125]",1.0400390625,3131.0,1731.56,1.553037368252954,24.0,336
54,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0501,HB-027-JYHIDC-0501HB-027-JYHIDC-0501/JFKT06,24.5,50.0,0.0,0.0,25.0,0.0,0.0,0.0,25.375,"[24.625, 25.375]",2.490234375,3365.0,2140.97,1.6362466567607723,25.0,70
55,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0610,HB-027-JYHIDC-0610HB-027-JYHIDC-0610/JFKT02,25.0,50.0,0.0,0.0,25.6,0.0,0.0,0.0,26.90625,"[26.453125, 26.90625, 25.984375, 26.59375]",2.310546875,1619.0,739.8,1.456948733786288,25.0,207
56,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0616,HB-027-JYHIDC-0616HB-027-JYHIDC-0616/JFKT06,25.0,50.0,0.0,0.0,26.4,0.0,0.0,0.0,25.5,"[25.5, 25.46875]",2.580078125,2786.0,1294.09,1.464497487437186,26.0,235
57,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0701,HB-027-JYHIDC-0701HB-027-JYHIDC-0701/JFKT03,24.0,50.0,0.0,0.0,25.9,0.0,0.0,0.0,24.8125,"[24.734375, 24.8125]",0.019203124567866325,3680.0,1862.31,1.5060625,26.0,158
58,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.96875,"[24.96875, 24.515625]",3.689453125,4864.0,2518.66,1.5178166118421053,24.0,336
59,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0501,HB-027-JYHIDC-0501HB-027-JYHIDC-0501/JFKT07,24.5,50.0,0.0,0.0,24.1,0.0,0.0,0.0,25.375,"[24.625, 25.375]",2.58984375,3365.0,2140.97,1.6362466567607723,24.0,304
60,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0702,HB-027-JYHIDC-0702HB-027-JYHIDC-0702/JFKT01,23.0,50.0,0.0,0.0,25.6,0.0,0.0,0.0,27.046875,"[25.796875, 27.046875, 25.796875, 27.046875]",0.011117187328636646,3131.0,1731.56,1.553037368252954,25.0,242
61,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09375,"[25.09375, 23.875]",2.509765625,4864.0,2518.66,1.5178166118421053,24.0,336
62,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0616,HB-027-JYHIDC-0616HB-027-JYHIDC-0616/JFKT01,24.0,50.0,0.0,0.0,25.2,0.0,0.0,0.0,27.234375,"[26.984375, 27.234375, 26.984375, 27.234375]",9.65625,2786.0,1294.09,1.464497487437186,25.0,43
63,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0501,HB-027-JYHIDC-0501HB-027-JYHIDC-0501/JFKT05,24.5,55.0,0.0,0.0,25.4,0.0,0.0,0.0,25.6875,"[25.6875, 25.453125, 25.484375, 23.9375]",0.011468750424683094,3365.0,2140.97,1.6362466567607723,25.0,198
64,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT07,23.0,61.0,0.0,0.0,24.4,0.0,0.0,0.0,26.578125,"[25.375, 26.015625, 25.765625, 26.578125]",0.02303124964237213,4864.0,2518.66,1.5178166118421053,24.0,313
65,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0616,HB-027-JYHIDC-0616HB-027-JYHIDC-0616/JFKT02,25.0,50.0,0.0,0.0,25.3,0.0,0.0,0.0,25.953125,"[25.765625, 25.953125]",2.4296875,2786.0,1294.09,1.464497487437186,25.0,10
66,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0701,HB-027-JYHIDC-0701HB-027-JYHIDC-0701/JFKT04,23.0,50.0,0.0,0.0,25.3,0.0,0.0,0.0,25.765625,"[25.765625, 25.703125]",0.011343750171363354,3680.0,1862.31,1.5060625,25.0,197
67,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0616,HB-027-JYHIDC-0616HB-027-JYHIDC-0616/JFKT05,25.0,50.0,0.0,0.0,25.5,0.0,0.0,0.0,27.125,"[27.125, 26.6875, 25.5, 25.46875]",1.9599609375,2786.0,1294.09,1.464497487437186,25.0,164
68,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0702,HB-027-JYHIDC-0702HB-027-JYHIDC-0702/JFKT05,23.0,55.0,0.0,0.0,25.5,0.0,0.0,0.0,27.15625,"[27.15625, 25.546875, 25.90625, 27.015625]",0.014906249940395355,3131.0,1731.56,1.553037368252954,25.0,239
69,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0501,HB-027-JYHIDC-0501HB-027-JYHIDC-0501/JFKT04,24.5,50.0,0.0,0.0,25.1,0.0,0.0,0.0,26.703125,"[26.703125, 25.765625]",0.012648437172174454,3365.0,2140.97,1.6362466567607723,25.0,133
70,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0506,HB-027-JYHIDC-0506HB-027-JYHIDC-0506/JFKT02,24.0,50.0,0.0,0.0,24.2,0.0,0.0,0.0,26.375,"[26.375, 25.5, 24.125, 24.125]",0.01354687474668026,4500.0,1700.0,1.3777777777777778,24.0,296
71,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0702,HB-027-JYHIDC-0702HB-027-JYHIDC-0702/JFKT04,23.0,50.0,0.0,0.0,25.2,0.0,0.0,0.0,27.15625,"[27.15625, 25.546875]",0.0,3131.0,1731.56,1.553037368252954,25.0,312
72,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0608,HB-027-JYHIDC-0608HB-027-JYHIDC-0608/JFKT01,24.0,50.0,0.0,0.0,24.8,0.0,0.0,0.0,26.25,"[26.25, 25.984375]",0.014171875081956387,0.0,340.84,inf,24.0,122
73,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0505,HB-027-JYHIDC-0505HB-027-JYHIDC-0505/JFKT02,24.5,50.0,0.0,0.0,25.2,0.0,0.0,0.0,24.421875,"[24.421875, 23.4375]",3.0390625,991.25,522.88,1.5274955863808324,25.0,135
74,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0613,HB-027-JYHIDC-0613HB-027-JYHIDC-0613/JFKT02,23.0,40.0,0.0,0.0,23.5,0.0,0.0,0.0,24.71875,"[23.65625, 24.71875]",0.010242187418043613,0.0,832.71,inf,24.0,316
75,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0505,HB-027-JYHIDC-0505HB-027-JYHIDC-0505/JFKT01,24.5,50.0,0.0,0.0,26.2,0.0,0.0,0.0,25.34375,"[25.34375, 24.28125, 25.34375, 24.28125]",0.014390625059604645,991.25,522.88,1.5274955863808324,26.0,118
76,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0613,HB-027-JYHIDC-0613HB-027-JYHIDC-0613/JFKT01,23.0,40.0,0.0,0.0,23.4,0.0,0.0,0.0,25.21875,"[23.84375, 25.21875]",9.25,0.0,832.71,inf,24.0,335
77,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0501,HB-027-JYHIDC-0501HB-027-JYHIDC-0501/JFKT02,24.5,50.0,0.0,0.0,27.1,0.0,0.0,0.0,27.40625,"[27.40625, 26.984375, 25.96875, 27.0]",0.031828124076128006,3365.0,2140.97,1.6362466567607723,26.0,267
78,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0701,HB-027-JYHIDC-0701HB-027-JYHIDC-0701/JFKT06,24.0,50.0,0.0,0.0,25.1,0.0,0.0,0.0,27.234375,"[25.703125, 27.234375]",0.01015624962747097,3680.0,1862.31,1.5060625,25.0,77
79,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT06,24.5,50.0,0.0,0.0,25.2,0.0,0.0,0.0,26.015625,"[25.375, 26.015625]",0.01321093738079071,4864.0,2518.66,1.5178166118421053,25.0,215
80,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0701,HB-027-JYHIDC-0701HB-027-JYHIDC-0701/JFKT02,24.0,50.0,0.0,0.0,24.6,0.0,0.0,0.0,25.40625,"[25.1875, 25.40625, 24.734375, 24.8125]",0.011773437261581421,3680.0,1862.31,1.5060625,24.0,261
81,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0616,HB-027-JYHIDC-0616HB-027-JYHIDC-0616/JFKT03,24.5,50.0,0.0,0.0,26.0,0.0,0.0,0.0,25.953125,"[25.765625, 25.953125]",0.017234375700354576,2786.0,1294.09,1.464497487437186,26.0,82
82,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0610,HB-027-JYHIDC-0610HB-027-JYHIDC-0610/JFKT01,25.0,50.0,0.0,0.0,27.3,0.0,0.0,0.0,26.90625,"[26.453125, 26.90625]",0.02082812413573265,1619.0,739.8,1.456948733786288,26.0,27
83,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0501,HB-027-JYHIDC-0501HB-027-JYHIDC-0501/JFKT01,24.5,50.0,0.0,0.0,25.8,0.0,0.0,0.0,27.40625,"[27.40625, 26.984375]",0.01321875024586916,3365.0,2140.97,1.6362466567607723,25.0,234
84,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0506,HB-027-JYHIDC-0506HB-027-JYHIDC-0506/JFKT03,24.0,50.0,0.0,0.0,24.7,0.0,0.0,0.0,27.671875,"[27.0625, 27.671875, 26.375, 25.5]",0.013937500305473804,4500.0,1700.0,1.3777777777777778,24.0,146
85,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0616,HB-027-JYHIDC-0616HB-027-JYHIDC-0616/JFKT04,25.0,50.0,0.0,0.0,25.7,0.0,0.0,0.0,27.125,"[27.125, 26.6875]",2.30078125,2786.0,1294.09,1.464497487437186,25.0,186
86,HB-027-JYHIDC,2022060101,20220601,HB-027-JYHIDC-0510,HB-027-JYHIDC-0510HB-027-JYHIDC-0510/JFKT08,24.5,50.0,0.0,0.0,24.5,0.0,0.0,0.0,26.578125,"[25.765625, 26.578125]",0.022187499329447746,4864.0,2518.66,1.5178166118421053,24.0,148
